LOAN_ID,ORIG_CHN,SELLER,orig_rt,orig_amt,orig_trm,oltv,ocltv,num_bo,dti,CSCORE_B,FTHB_FLG,purpose,PROP_TYP,NUM_UNIT,occ_stat,state,zip_3,mi_pct,CSCORE_C,relo_flg,MI_TYPE,AQSN_DTE,ORIG_DTE,FRST_DTE,LAST_RT,LAST_UPB,msa,FCC_COST,PP_COST,AR_COST,IE_COST,TAX_COST,NS_PROCS,CE_PROCS,RMW_PROCS,O_PROCS,repch_flag,LAST_ACTIVITY_DATE,LPI_DTE,FCC_DTE,DISP_DTE,SERVICER,F30_DTE,F60_DTE,F90_DTE,F120_DTE,F180_DTE,FCE_DTE,F180_UPB,FCE_UPB,F30_UPB,F60_UPB,F90_UPB,MOD_FLAG,FMOD_DTE,FMOD_UPB,MODIR_COST,MODFB_COST,MODFG_COST,MODTRM_CHNG,MODUPB_CHNG,z_num_periods_120,F120_UPB,CSCORE_MN,ORIG_VAL,LAST_DTE,LAST_STAT,COMPLT_FLG,INT_COST,PFG_COST,NET_LOSS,NET_SEV,MODTOT_COST
000135176869,C,"United Wholesale Mortgage, LLC",7.62,105000,360,75,75,1,34,735,N,P,SF,2,I,TX,751,NULL,NULL,N,None,2023-03-01,2022-12-01,2023-02-01,7.62,103891.03,19100,,,,,,,,,,,,,,,"United Wholesale Mortgage, LLC",,,,,,,,,,,,,,,,,,,,,,735,140000,,,,,,,,
000135176870,C,Truist Bank,7.5,266000,360,49,49,2,43,766,N,P,PU,1,P,MO,641,NULL,763,N,None,2023-03-01,2022-11-01,2023-01-01,7.5,263969.44,28140,,,,,,,,,,,,,,,Truist Bank,,,,,,,,,,,,,,,,,,,,,,763,542857.14,,,,,,,,
000135176871,R,Other,7.62,281000,360,97,97,2,38,780,Y,P,SF,1,P,DE,197,35,672,N,BPMI,2023-03-01,2022-12-01,2023-02-01,7.62,278328.92,37980,,,,,,,,,,,,,,,Regions Bank,,,,,,,,,,,,,,,,,,,,,,672,289690.72,,,,,,,,
000135176872,C,Guild Mortgage Company LLC,7.75,200000,360,67,67,2,27,636,N,P,SF,1,P,NM,871,NULL,630,N,None,2023-03-01,2022-12-01,2023-02-01,7.75,197784.26,10740,,,,,,,,,,,,,,,Guild Mortgage Company LLC,,,,,,,,,,,,,,,,,,,,,,630,298507.46,,,,,,,,
000135176873,R,Other,6.25,181000,360,56,56,1,45,795,N,C,PU,1,P,FL,346,NULL,NULL,N,None,2023-03-01,2023-01-01,2023-03-01,6.25,179140.53,45300,,,,,,,,,,,,,,,Arvest Bank,,,,,,,,,,,,,,,,,,,,,,795,323214.29,,,,,,,,
000135176874,C,Truist Bank,6.62,272000,360,80,80,1,46,793,Y,P,PU,1,P,GA,301,NULL,NULL,N,None,2023-03-01,2022-11-01,2023-01-01,6.62,243370.65,12060,,,,,,,,,,,,,,,"Rocket Mortgage, LLC",,,,,,,,,,,,,,,,,,,,,,793,340000,,,,,,,,
000135176875,R,"Guaranteed Rate, Inc.",5.99,220000,360,63,63,1,31,746,Y,P,SF,1,P,NY,109,NULL,NULL,N,None,2023-03-01,2022-11-01,2023-01-01,5.99,216590.95,35620,,,,,,,,,,,,,,,"Lakeview Loan Servicing, LLC",,,,,,,,,,,,,,,,,,,,,,746,349206.35,,,,,,,,
000135176876,R,Other,6.88,376000,360,80,80,2,46,785,N,P,PU,1,P,AZ,851,NULL,790,N,None,2023-03-01,2022-12-01,2023-02-01,6.88,337780.78,38060,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,785,470000,,,,,,,,
000135176877,R,Other,7.12,210000,360,90,90,1,40,810,Y,P,PU,1,P,CO,809,25,NULL,N,BPMI,2023-03-01,2022-12-01,2023-02-01,7.12,207259.48,17820,,,,,,,,,,,,,,,"Lakeview Loan Servicing, LLC",,,,,,,,,,,,,,,,,,,,,,810,233333.33,,,,,,,,
000135176878,C,Other,6.58,392000,360,95,95,1,29,787,N,P,SF,1,P,IL,606,30,NULL,N,BPMI,2023-03-01,2022-11-01,2023-01-01,6.58,386900.81,16980,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,787,412631.58,,,,,,,,
